Down,Dist,Field Pos,Gain,Quarter,pff_CLOCK,pff_SCORE,pff_SCOREDIFFERENTIAL,Points on next possession
4,21,-6,45,2,5:45,7.1,3,0
4,8,-23,47,3,13:36,10.17,7,-3
4,6,50,41,3,2:24,13.2,7,-3
4,10,-41,,4,3:40,18.27,9,-3
4,15,-36,,4,3:40,18.27,9,-3
4,8,-32,64,3,9:59,26.14,12,0
4,7,50,39,3,7:41,26.14,12,-3
4,4,-35,53,3,1:06,26.17,9,0
4,8,-17,50,4,5:57,33.17,16,-7
4,2,43,41,2,14:22,0,0,0
4,7,43,43,4,6:22,32.19,13,-7
4,5,-40,50,4,3:16,32.25,7,7
4,5,-13,57,1,7:53,0,0,-7
4,7,47,43,2,13:51,7.14,7,0
4,5,-17,52,2,8:06,7.14,7,-7
4,9,41,30,3,12:44,14.14,0,0
4,4,37,28,3,8:52,14.14,0,0
4,11,-24,58,4,6:40,17.28,11,0
4,11,-24,44,1,12:30,7,-7,0
4,1,-47,39,2,2:37,16.24,8,0
4,6,-12,45,3,3:11,16.31,15,-7
4,12,-43,41,4,7:14,56.28,28,0
4,21,-14,42,3,13:19,16.19,-3,-7
4,2,-30,39,4,13:52,23.33,-10,-3
4,7,-24,47,4,9:20,23.36,-13,0
4,9,-26,39,4,12:13,21.28,7,-7
4,6,-25,48,1,3:48,0.06,-6,0
4,3,-49,51,2,15:00,0.06,-6,0
4,5,-41,36,2,0:48,3.13,-10,0
4,10,-9,47,3,9:16,3.27,-24,0
4,8,-27,53,4,4:54,3.34,-31,0
4,15,42,,2,11:00,3.1,7,0
4,20,47,37,2,11:00,3.1,7,0
4,25,-37,63,3,7:32,3.2,17,0
4,9,-15,46,3,5:01,3.2,17,-7
4,4,-26,47,4,11:51,10.2,10,-3
4,17,41,,4,1:53,13.2,7,0
4,22,46,46,4,1:53,13.2,7,0
4,1,-29,37,1,11:23,0,0,0
4,1,-44,47,1,7:08,0,0,0
4,9,-37,36,2,12:25,0.07,7,-7
4,10,-38,37,2,0:29,7.14,7,0
4,6,-21,32,4,14:03,7.28,21,-7
4,1,-33,40,4,5:57,14.35,21,0
4,6,-5,33,4,2:22,14.35,21,0
4,7,48,31,1,2:52,10,10,-7
4,9,49,44,2,13:40,7.14,7,-7
4,3,-41,56,2,3:34,21.21,0,0
4,17,49,37,2,0:40,21.21,0,0
4,4,-26,42,1,7:38,0,0,0
4,2,-44,38,2,6:22,28,28,0
4,7,49,49,3,8:38,38,38,0
4,24,-27,48,4,6:34,41.07,34,0
4,12,40,29,1,11:42,0,0,-7
