Down,Dist,Field Pos,Gain,Quarter,pff_CLOCK,pff_SCORE,pff_SCOREDIFFERENTIAL,pts
4,15,28,46,1,11:38,0,0,0
4,3,13,31,3,9:44,44.21,-23,0
4,4,21,39,4,10:03,28.17,11,3
4,4,4,23,3,0:20,14.38,-24,3
4,11,22,39,3,9:35,14.07,-7,3
4,11,22,39,3,9:35,14.07,-7,3
4,8,13,30,3,0:58,46.07,-39,3
4,12,32,50,1,1:55,7.03,4,-3
4,12,12,30,2,3:06,7.1,-3,3
4,13,13,30,3,3:40,10.16,-6,3
4,11,15,33,1,0:14,7.07,0,0
4,8,10,26,2,10:13,0.18,-18,-7
4,22,31,48,3,12:51,7.39,-32,3
4,8,8,25,1,6:13,0,0,3
4,2,21,38,3,5:12,17.1,7,-7
4,1,14,32,4,1:59,31.24,7,0
4,5,33,50,2,7:54,7,7,3
4,14,34,51,3,0:52,17,17,0
4,7,7,24,4,9:03,24,24,3
4,5,8,25,2,8:40,17.14,-3,3
4,6,17,34,2,2:11,17.17,0,3
4,2,20,37,2,0:47,17.2,3,3
4,10,10,27,1,9:34,0,0,0
4,12,14,31,1,5:33,0,0,3
4,8,25,43,2,3:15,0.1,-10,3
4,12,20,1,3,0:30,3.24,-21,0
4,16,16,34,2,11:38,3.07,4,3
4,7,11,29,3,10:49,3.17,14,3
4,8,8,26,4,6:45,3.2,17,3
4,9,19,37,3,10:06,42,42,3
4,8,17,34,2,14:55,7,7,3
4,8,24,41,1,10:26,0,0,3
4,2,14,30,2,11:18,7.07,0,3
4,8,10,27,4,9:37,10.14,-4,3
4,2,12,30,2,11:56,0,0,3
4,1,14,32,4,9:32,0.1,10,0
4,10,27,44,1,11:41,0,0,3
4,14,16,33,3,8:24,17.17,0,3
4,2,15,32,4,1:43,27.27,0,3
4,20,24,41,3,10:56,14.07,7,3
4,10,27,44,1,11:41,0,0,3
4,14,16,33,3,8:24,17.17,0,3
4,2,15,32,4,1:43,27.27,0,3
4,3,16,33,1,3:13,3.07,4,3
4,8,28,45,2,8:24,3.1,7,3
4,7,29,46,4,14:57,30.2,-10,0
4,3,3,,,,,,
,,,,,,,,
